run_at,case_id,endpoint,method,execute_requested,status,http_status,latency_ms,required_fields_present,refused,citation_count,expected_mode,actual_mode,mode_matched,validator_marker,sensitive_field_detected,error_summary
2026-06-15T17:29:53.910481+00:00,health,/health,GET,true,passed,200,41.470,true,,0,,,true,false,false,
2026-06-15T17:29:53.910481+00:00,quality_report_html,/quality-report,GET,true,passed,200,30.532,true,,0,,,true,false,false,
2026-06-15T17:29:53.910481+00:00,quality_report_data,/quality-report/data.json,GET,true,passed,200,14.310,true,,0,,,true,false,false,
2026-06-15T17:29:53.910481+00:00,agent_query_default_tool_calling,/agent/query,POST,true,passed,200,12112.638,true,false,1,tool_calling_agent,tool_calling_agent,true,false,false,
2026-06-15T17:29:53.910481+00:00,agent_query_react_agent_rollback,/agent/query,POST,true,passed,200,26173.711,true,false,3,react_agent,react_agent,true,false,false,
2026-06-15T17:29:53.910481+00:00,agent_query_tool_calling,/agent/query,POST,true,passed,200,16152.697,true,false,2,tool_calling_agent,tool_calling_agent,true,false,false,
2026-06-15T17:29:53.910481+00:00,agent_query_multiturn_transform,/agent/query,POST,true,passed,200,1511.325,true,false,0,default,default,true,false,false,
2026-06-15T17:29:53.910481+00:00,agent_query_model_meta,/agent/query,POST,true,passed,200,2.057,true,false,0,meta,meta,true,false,false,
2026-06-15T17:29:53.910481+00:00,agent_query_stream_default_tool_calling,/agent/query/stream,POST,true,passed,200,13892.364,true,false,1,tool_calling_agent,tool_calling_agent,true,false,false,
2026-06-15T17:29:53.910481+00:00,agent_query_stream_react_agent_rollback,/agent/query/stream,POST,true,passed,200,22385.198,true,false,2,react_agent,react_agent,true,false,false,
2026-06-15T17:29:53.910481+00:00,agent_query_tool_calling_stream,/agent/query/stream,POST,true,passed,200,17629.929,true,false,2,tool_calling_agent,tool_calling_agent,true,false,false,
