chunk_id,document_id,document_title,chunk_type,heading_bucket,score
10904,1322,中低应变率下堆石混凝土动强度试验研究 (1),text,0 引言,231
10935,1323,中低应变率下堆石混凝土动强度试验研究,text,0 引言,231
13931,1575,基于介观模型的界面和骨料对堆石混凝土压拉强度敏感性影响研究,text,ABSTRACT,231
22039,1165,3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties,text,__stage31_parent__:23:Page 1 > Page 12,231
22737,1322,中低应变率下堆石混凝土动强度试验研究 (1),text,__stage31_parent__:2:0 引言,231
22774,1326,全再生骨料堆石混凝土性能研究 (1),text,__stage31_parent__:3:BULLETIN OF THE CHINESE CERAMIC SOCIETY > Page 3,231
22786,1327,全再生骨料堆石混凝土性能研究,text,__stage31_parent__:3:BULLETIN OF THE CHINESE CERAMIC SOCIETY > Page 3,231
24336,1575,基于介观模型的界面和骨料对堆石混凝土压拉强度敏感性影响研究,text,__stage31_parent__:2:ABSTRACT,231
24926,1586,堆石混凝土力学及冻融损伤性能的细观数值仿真试验研究,text,__stage31_parent__:42:参考文献 > Page 72,231
13108,1512,智能化赋能堆石混凝土坝施工建设：CIM4R,text,Page 1,230
13411,1541,考虑分层填充的非均质堆石混凝土温度研究 (1),text,26 温度/°C > Page 10,230
13451,1542,考虑分层填充的非均质堆石混凝土温度研究,text,26 温度/°C > Page 10,230
22741,1322,中低应变率下堆石混凝土动强度试验研究 (1),text,__stage31_parent__:6:2 堆石混凝土动强度分析 > Page 5,230
23517,1458,堆石混凝土水化温升过程及动力学研究 (1),text,__stage31_parent__:2:Page 1,230
23988,1529,浅谈堆石混凝土施工中的质量控制,text,__stage31_parent__:1:1 质量检测方法概述,230
24215,1566,高坝堆石混凝土综合性能及适用性研究,text,__stage31_parent__:1:1 研究对象及方法,230
24254,1574,卵石堆石混凝土的非均质温度应力数值模拟,text,__stage31_parent__:1:摘 要 > Page 5,230
24912,1586,堆石混凝土力学及冻融损伤性能的细观数值仿真试验研究,text,__stage31_parent__:28:4 堆石混凝土抗压力学性能的细观数值仿真试验研究 > Page 46 > 4.1.3 模拟结果分析,230
24959,1587,堆石混凝土在某高坝上的应用研究与抗震分析,text,__stage31_parent__:28:PP LE AL > Page 46,230
25057,1588,堆石混凝土填充性能及界面破坏特性研究,text,__stage31_parent__:71:Abstract > Page 153,230
25109,1589,堆石混凝土大坝施工缝层间强度研究,text,__stage31_parent__:11:1 绪论 > Page 15,230
25507,1596,堆石混凝土抗压强度的尺寸效应研究,text,__stage31_parent__:19:3 堆石混凝土的尺寸效应研究 > Page 34,230
35017,1803,基于内聚力模型的堆石混凝土层间界面剪切力学性能研究,text,__stage31_parent__:14:ABSTRACT > 2.2 试验方案比选,230
35084,1805,基于正交各向异性本构的堆石混凝土胶结面强度研究,text,__stage31_parent__:23:ABSTRACT > 3.1 SCC-岩石组合体试件单轴压缩物理试验 > 3.1.1 试验原材料,230
35335,1813,堆石混凝土坝中预制块模板的侧压力研究,text,__stage31_parent__:10:ABSTRACT > Page 11 > 1.2.2 工程概况,230
39918,2069,"堆石混凝土( Rock-Filled Concrete,RFC)筑坝技术",text,1 现场试验段,230
13962,1575,基于介观模型的界面和骨料对堆石混凝土压拉强度敏感性影响研究,text,ABSTRACT > 3.4 RFC 三维四相缺陷有限元模型,229
17169,1604,堆石混凝土立方体抗压性能尺寸效应研究,text,ABSTRACT > Page 79,228
17171,1604,堆石混凝土立方体抗压性能尺寸效应研究,text,ABSTRACT > Page 80,228
17541,1609,堆石混凝土综合性能试验与温度应力研究,text,摘 要,228
25582,1597,堆石混凝土抗拉性能及劈裂抗拉破坏机理,text,__stage31_parent__:48:ABSTRACT > Page 83,228
12256,1444,堆石混凝土施工技术在新疆公路工程中的应用,text,3 堆石混凝土在新疆地区演示试验,227
21803,1159,Experimental Research on the Properties of Rock-Filled Concrete,text,__stage31_parent__:39:Page 1 > Page 10,227
24335,1575,基于介观模型的界面和骨料对堆石混凝土压拉强度敏感性影响研究,text,__stage31_parent__:1:摘要 > Page 4,227
34592,1898,Liu 等 - 2024 - Study on the effect of porosity and aperture on the damage characterization of rock-filled concrete,text,Page 1 > Page 7,227
37937,1898,Liu 等 - 2024 - Study on the effect of porosity and aperture on the damage characterization of rock-filled concrete,text,__stage31_parent__:14:Page 1 > Page 7,227
12929,1500,工程尺度堆石混凝土抗压性能试验研究,text,1 研究背景 > Page 3,226
13689,1566,高坝堆石混凝土综合性能及适用性研究,text,1 研究对象及方法 > Page 2,226
15153,1587,堆石混凝土在某高坝上的应用研究与抗震分析,text,ABSTRACT > 3.2 A工程的 RFC力学性能试验,226
31630,1854,某实际工程堆石混凝土的力学性能及抗渗研究,text,ABSTRACT > Page 13,226
42607,2253,摘 要:堆石混凝土 (RFC) 中堆石与自密实混凝土 (SCC) 形成的骨-胶界面处的粘结性能,text,1 原材料与试验方案 > Page 5,226
9100,1159,Experimental Research on the Properties of Rock-Filled Concrete,text,Page 1 > Page 2,225
15991,1594,堆石混凝土强度性能及冻融耐久性的研究,text,ABSTRACT > Page 6,225
23791,1496,大粒径堆石混凝土超声回弹综合测强曲线的试验研究,text,__stage31_parent__:1:关键词,225
24245,1572,高自密实性堆石混凝土的试验分析,text,__stage31_parent__:1:2 工艺要求及胶结颗粒料技术要求,225
25159,1590,堆石混凝土导热系数试验及预测模型研究,text,__stage31_parent__:17:ABSTRACT > Page 21,225
26107,1608,堆石混凝土绝热温升试验及数值模拟研究,text,__stage31_parent__:21:二、 边界条件 > Page 25,225
26563,1668,Research on Rock-Filled Concrete Dam - International Journal of Civil Engineering,text,__stage31_parent__:3:Abstract > 2 Research on the Mechanical Properties of RFC > 2.1 Strength,225
34596,1898,Liu 等 - 2024 - Study on the effect of porosity and aperture on the damage characterization of rock-filled concrete,text,Page 1 > Page 8,225
17126,1604,堆石混凝土立方体抗压性能尺寸效应研究,text,ABSTRACT > Page 31,224
23176,1390,堆石混凝土坝的内部结构 (1),text,__stage31_parent__:0:Page 1,224
23180,1391,堆石混凝土坝的内部结构,text,__stage31_parent__:0:Page 1,224
23413,1433,堆石混凝土抗压强度影响因素细观分析,text,__stage31_parent__:7:20 水力发电学报,224
24621,1580,基于随机骨料投放的堆石混凝土力学性能研究,text,"__stage31_parent__:34:20 世纪以来,国内外研究学者对于混凝土类材料的研究由宏观逐渐向细观、微观发 > Page 61",224
25662,1599,堆石混凝土断裂性能及堆石阻裂机理研究,text,__stage31_parent__:19:ABSTRACT > Page 25,224
29327,1812,堆石混凝土坝一体化界面粘结性能及其劈裂抗拉破坏机理研究,text,ABSTRACT > Page 13,224
30207,1831,堆石混凝土施工管理中视觉信息的处理方法及应用研究,text,Abstract > Page 10,224
35284,1812,堆石混凝土坝一体化界面粘结性能及其劈裂抗拉破坏机理研究,text,__stage31_parent__:13:ABSTRACT > Page 12,224
35908,1839,堆石混凝土重力坝监测资料的正反分析和安全评价,text,__stage31_parent__:9:4 The distribution and change of displacement and stress strain of finite element > Page 9,224
13076,1510,无损检测方法在大尺寸堆石混凝土试验仓强度检测中的应用研究,text,2 回弹法试验结果与分析 > Page 5,223
15065,1586,堆石混凝土力学及冻融损伤性能的细观数值仿真试验研究,text,3 堆石混凝土细观有限元模型建立方法研究 > Page 38,223
18871,1677,Rock-Filled Concrete with Manufactured Sand,text,Abstract > 7.4 Mix Design of Superfluid SCC with MS > 7.4.3 Optimization of Mix Proportion of Superfluid SCC with MS > 7.4.3.2 The Influence of the Change of Mi,223
21893,1162,A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications,text,__stage31_parent__:21:Page 1 > Page 7,223
37062,1869,粉煤灰掺量对堆石混凝土绝热温升值影响的试验研究及拱坝温度过程分析,text,"__stage31_parent__:52:(四)第四类边界条件。第四类边界条件情况指两者均为固体的材料相互接触,且接触条件好,热流 > Page 103",223
