run_at,case_id,endpoint,method,execute_requested,auth_required,status,http_status,latency_ms,required_fields_present,refused,citation_count,expected_mode,actual_mode,mode_matched,validator_marker,sensitive_field_detected,error_summary
2026-06-26T15:05:00.423644+00:00,agent_query_unauthenticated_401,/agent/query,POST,true,false,passed,401,299.012,true,,0,,,true,false,false,
2026-06-26T15:05:00.423644+00:00,auth_register_smoke_user,/auth/register,POST,true,false,passed,200,546.313,true,,0,,,true,false,false,
2026-06-26T15:05:00.423644+00:00,auth_login_smoke_user,/auth/login,POST,true,false,passed,200,535.252,true,,0,,,true,false,false,
2026-06-26T15:05:00.423644+00:00,auth_me,/auth/me,GET,true,true,passed,200,251.510,true,,0,,,true,false,false,
2026-06-26T15:05:00.423644+00:00,health,/health,GET,true,false,passed,200,246.823,true,,0,,,true,false,false,
2026-06-26T15:05:00.423644+00:00,frontend_home,/,GET,true,false,passed,200,290.646,true,,0,,,true,false,false,
2026-06-26T15:05:00.423644+00:00,image_asset,/assets/images/1059/page10_img1.png,GET,true,false,passed,200,356.150,true,,0,,,true,false,false,
2026-06-26T15:05:00.423644+00:00,quality_report_html,/quality-report,GET,true,false,passed,200,248.102,true,,0,,,true,false,false,
2026-06-26T15:05:00.423644+00:00,quality_report_data,/quality-report/data.json,GET,true,false,passed,200,250.595,true,,0,,,true,false,false,
2026-06-26T15:05:00.423644+00:00,chat_authenticated,/chat,POST,true,true,passed,200,227824.267,true,false,2,,,true,false,false,
2026-06-26T15:05:00.423644+00:00,agent_query_default_tool_calling,/agent/query,POST,true,true,passed,200,41096.646,true,false,4,tool_calling_agent,tool_calling_agent,true,false,false,
2026-06-26T15:05:00.423644+00:00,agent_query_react_agent_rollback,/agent/query,POST,true,true,passed,200,63392.338,true,false,2,react_agent,react_agent,true,false,false,
2026-06-26T15:05:00.423644+00:00,agent_query_tool_calling,/agent/query,POST,true,true,passed,200,29352.382,true,false,4,tool_calling_agent,tool_calling_agent,true,false,false,
2026-06-26T15:05:00.423644+00:00,agent_query_multiturn_transform,/agent/query,POST,true,true,passed,200,2258.867,true,false,0,default,default,true,false,false,
2026-06-26T15:05:00.423644+00:00,agent_query_model_meta,/agent/query,POST,true,true,passed,200,275.228,true,false,0,meta,meta,true,false,false,
2026-06-26T15:05:00.423644+00:00,agent_query_stream_default_tool_calling,/agent/query/stream,POST,true,true,passed,200,41208.016,true,false,4,tool_calling_agent,tool_calling_agent,true,false,false,
2026-06-26T15:05:00.423644+00:00,agent_query_stream_react_agent_rollback,/agent/query/stream,POST,true,true,passed,200,64834.638,true,false,2,react_agent,react_agent,true,false,false,
2026-06-26T15:05:00.423644+00:00,agent_query_tool_calling_stream,/agent/query/stream,POST,true,true,passed,200,24000.753,true,false,5,tool_calling_agent,tool_calling_agent,true,false,false,
