document_id,chunk_id,source_image_path,phase45_status,phase45_reason,phase45_report,phase46_classification,cleanup_status,current_chunk_id,current_chunk_count,current_embedding_count,final_status,audit_reason,apply_status,apply_error
1124,46459,data/images/1124/page50_img2.png,fixed,orientation_review:侧向,all_review,normal,,0,0,0,fixed,phase45_repair_fixed,,
1141,46508,data/images/1141/page50_img1.png,fixed,orientation_review:侧向,all_review,normal,,46508,1,1,fixed,phase45_repair_fixed,,
1561,46836,data/images/1561/page10_img1.png,fixed,orientation_review:旋转,all_review,normal,,46836,1,1,fixed,phase45_repair_fixed,,
1140,46906,data/images/1140/page57_img2.png,fixed,orientation_review:侧向,all_review,normal,,46906,1,1,fixed,phase45_repair_fixed,,
1164,46998,data/images/1164/page5_img2.png,fixed,orientation_review:旋转,all_review,normal,,46998,1,1,fixed,phase45_repair_fixed,,
1141,47258,data/images/1141/page76_img1.png,fixed,orientation_review:侧向,all_review,normal,,47258,1,1,fixed,phase45_repair_fixed,,
1144,47260,data/images/1144/page1_img1.png,fixed,orientation_review:倒置|旋转,all_review,normal,,47260,1,1,fixed,phase45_repair_fixed,,
1178,47512,data/images/1178/page74_img1.png,fixed,orientation_review:侧向,all_review,normal,,47512,1,1,fixed,phase45_repair_fixed,,
1176,47773,data/images/1176/page18_img2.png,fixed,orientation_review:旋转,all_review,normal,,47773,1,1,fixed,phase45_repair_fixed,,
1141,47986,data/images/1141/page62_img1.png,fixed,orientation_review:侧向,all_review,normal,,47986,1,1,fixed,phase45_repair_fixed,,
443,48326,data/images/443/page65_img2.png,fixed,orientation_review:旋转,all_review,normal,,48326,1,1,fixed,phase45_repair_fixed,,
1167,48469,data/images/1167/page3_img2.png,fixed,orientation_review:倒置,all_review,normal,,48469,1,1,fixed,phase45_repair_fixed,,
1532,48644,data/images/1532/page1_img1.png,fixed,orientation_review:倒置,all_review,normal,,48644,1,1,fixed,phase45_repair_fixed,,
1141,48715,data/images/1141/page39_img1.png,fixed,orientation_review:侧向,all_review,normal,,48715,1,1,fixed,phase45_repair_fixed,,
1141,48727,data/images/1141/page78_img1.png,fixed,orientation_review:侧向,all_review,normal,,48727,1,1,fixed,phase45_repair_fixed,,
1144,48734,data/images/1144/page28_img1.png,fixed,orientation_review:侧向,all_review,normal,,48734,1,1,fixed,phase45_repair_fixed,,
1225,48824,data/images/1225/page3_img1.png,fixed,orientation_review:侧向,all_review,type_c,cleaned,0,0,0,fixed,phase45_repair_fixed,,
1501,49027,data/images/1501/page2_img4.png,fixed,orientation_review:侧向,all_review,normal,,49027,1,1,fixed,phase45_repair_fixed,,
1561,49039,data/images/1561/page9_img1.png,fixed,orientation_review:旋转,all_review,normal,,49039,1,1,fixed,phase45_repair_fixed,,
1155,49173,data/images/1155/page77_img2.png,fixed,orientation_review:侧向,all_review,normal,,49173,1,1,fixed,phase45_repair_fixed,,
1167,49198,data/images/1167/page6_img2.png,fixed,orientation_review:倒置,all_review,normal,,0,0,0,fixed,phase45_repair_fixed,,
1176,49243,data/images/1176/page35_img2.png,fixed,orientation_review:倒置,all_review,normal,,49243,1,1,fixed,phase45_repair_fixed,,
1532,49372,data/images/1532/page1_img2.png,fixed,orientation_review:倒置,all_review,normal,,49372,1,1,fixed,phase45_repair_fixed,,
1141,49453,data/images/1141/page72_img1.png,fixed,orientation_review:侧向,all_review,normal,,49453,1,1,fixed,phase45_repair_fixed,,
1144,49458,data/images/1144/page9_img1.png,fixed,orientation_review:侧向,all_review,normal,,49458,1,1,fixed,phase45_repair_fixed,,
1144,49460,data/images/1144/page19_img1.png,fixed,orientation_review:侧向,all_review,normal,,49460,1,1,fixed,phase45_repair_fixed,,
1168,49495,data/images/1168/page22_img1.png,fixed,orientation_review:倒置,all_review,normal,,49495,1,1,fixed,phase45_repair_fixed,,
1132,50673,data/images/1132/page61_img2.png,fixed,orientation_review:倒置,all_review,normal,,50673,1,1,fixed,phase45_repair_fixed,,
421,50837,data/images/421/page3_img1.png,failed,orientation_review:侧向,all_review,type_a,cleaned,0,0,0,resolved_by_cleanup,phase46_type_a_cleanup_removed_chunk_embedding,,
1106,51005,data/images/1106/page108_img2.png,fixed,orientation_review:倒置,all_review,normal,,51005,1,1,fixed,phase45_repair_fixed,,
1106,51381,data/images/1106/page111_img2.png,fixed,orientation_review:倒置,all_review,normal,,51381,1,1,fixed,phase45_repair_fixed,,
1133,51448,data/images/1133/page63_img1.png,fixed,orientation_review:侧向,all_review,normal,,51448,1,1,fixed,phase45_repair_fixed,,
1318,47530,data/images/1318/page3_img1.png,fixed,manual_document_orientation_fix,phase45_orientation_fix_doc1318_retry,normal,,47530,1,1,fixed,phase45_repair_fixed,,
1318,48265,data/images/1318/page3_img2.png,fixed,manual_document_orientation_fix,phase45_orientation_fix_doc1318_retry,normal,,48265,1,1,fixed,phase45_repair_fixed,,
1318,45814,data/images/1318/page3_img3.png,fixed,manual_document_orientation_fix,phase45_orientation_fix_doc1318_retry,normal,,45814,1,1,fixed,phase45_repair_fixed,,
