chunk_id,document_id,source_image_path,status,caption,caption_page_num,error
33796,14,data/images/14/page10_img1.png,captioned,Figure 8. The relationship of inclination and aggregate size (τ0 = 23.55 Pa).,10,
33797,14,data/images/14/page12_img1.png,no_caption,,0,
34480,14,data/images/14/page1_img1.png,no_caption,,0,
33783,14,data/images/14/page3_img1.png,captioned,Figure 1. Porous boxes with diﬀerent shaped grains. (a) Cylinder grains; (b) Diamond grains; (c) Square grains.,3,
34484,14,data/images/14/page3_img2.png,captioned,Figure 1. Porous boxes with diﬀerent shaped grains. (a) Cylinder grains; (b) Diamond grains; (c) Square grains.,3,
33785,14,data/images/14/page3_img3.png,captioned,Figure 1. Porous boxes with diﬀerent shaped grains. (a) Cylinder grains; (b) Diamond grains; (c) Square grains.,3,
33786,14,data/images/14/page5_img1.png,no_caption,,0,
33787,14,data/images/14/page5_img2.png,captioned,Figure 3. The ﬂow process of SCM in the porous box (left: simulation; right: test [10]). (a) 5 s; (b) 15 s; (c) Flow stoppage.,5,
33788,14,data/images/14/page5_img3.png,captioned,Figure 3. The ﬂow process of SCM in the porous box (left: simulation; right: test [10]). (a) 5 s; (b) 15 s; (c) Flow stoppage.,5,
33789,14,data/images/14/page5_img4.png,no_caption,,0,
33790,14,data/images/14/page5_img5.png,no_caption,,0,
33791,14,data/images/14/page5_img6.png,no_caption,,0,
33792,14,data/images/14/page6_img1.png,captioned,Figure 4. Normalized h2 of SCM distribution versus yield stress of SCM.,6,
33793,14,data/images/14/page6_img2.png,captioned,Figure 4. Normalized h2 of SCM distribution versus yield stress of SCM.,6,
33794,14,data/images/14/page8_img242.png,no_caption,,0,
33795,14,data/images/14/page8_img552.png,no_caption,,0,
33799,15,data/images/15/page1_img2.png,no_caption,,0,
33800,15,data/images/15/page3_img1.png,captioned,Fig. 1. Illustrated diagram of the fundamental research and key scientiﬁc issues of RFC. BSE: backscatter electron; ITZ: interfacial transition zone.,3,
33801,15,data/images/15/page4_img1.png,captioned,Fig. 2. Technical innovations in the RFC dams.,4,
33802,15,data/images/15/page6_img1.png,captioned,Fig. 3. Future directions in the construction of concrete dams.,6,
33812,16,data/images/16/page10_img1.png,captioned,Figure 9. Stress increases with time.,10,
52811,16,data/images/16/page10_render1.png,captioned,Figure 9. Stress increases with time.,10,
52812,16,data/images/16/page11_render1.png,captioned,Figure 10. Elastic modulus comparison of models.,11,
33813,16,data/images/16/page12_img1.png,captioned,Figure 11. Results of all of the models’ simulations of the primary stress distribution between rocks.,12,
52813,16,data/images/16/page12_render1.png,captioned,Figure 11. Results of all of the models’ simulations of the primary stress distribution between rocks.,12,
33803,16,data/images/16/page1_img1.png,no_caption,,0,
33804,16,data/images/16/page2_img1.png,captioned,Figure 1. Composite and construction of rock-filled concrete.,2,
52814,16,data/images/16/page2_render1.png,captioned,Figure 1. Composite and construction of rock-filled concrete.,2,
33805,16,data/images/16/page4_img1.png,captioned,Figure 2. The schematic diagram for the elastic modulus of rock-filled concrete.,4,
34486,16,data/images/16/page4_img2.png,captioned,Figure 2. The schematic diagram for the elastic modulus of rock-filled concrete.,4,
52815,16,data/images/16/page4_render1.png,captioned,Figure 2. The schematic diagram for the elastic modulus of rock-filled concrete.,4,
33807,16,data/images/16/page5_img1.png,captioned,Figure 3. FEM model of rock-filled concrete (50% spherical rocks).,5,
33808,16,data/images/16/page5_img2.png,captioned,Figure 4. The rocks’ geometric patterns and models with spherical rocks.,5,
33809,16,data/images/16/page5_img3.png,no_caption,,0,
52816,16,data/images/16/page5_render1.png,captioned,Figure 3. FEM model of rock-filled concrete (50% spherical rocks).,5,
52817,16,data/images/16/page5_render2.png,captioned,Figure 4. The rocks’ geometric patterns and models with spherical rocks.,5,
52818,16,data/images/16/page5_render3.png,no_caption,,0,
33810,16,data/images/16/page6_img1.png,no_caption,,0,
33811,16,data/images/16/page6_img2.png,captioned,Figure 5. The rocks’ geometric patterns and models with polyhedron rocks.,6,
52819,16,data/images/16/page6_render1.png,no_caption,,0,
52820,16,data/images/16/page6_render2.png,captioned,Figure 5. The rocks’ geometric patterns and models with polyhedron rocks.,6,
