source_id,standard_no,title,status,document_id,chunk_count,card_path,registry_status
std_cn_nb_t_10077_2018,NB/T 10077-2018,堆石混凝土筑坝技术导则,imported,1068,2,data\imports\chinese_standards_metadata\NB_T_10077-2018_堆石混凝土筑坝技术导则.md,created
std_cn_dl_t_5806_2020,DL/T 5806-2020,水电水利工程堆石混凝土施工规范,imported,1069,2,data\imports\chinese_standards_metadata\DL_T_5806-2020_水电水利工程堆石混凝土施工规范.md,created
std_cn_gb_50496_2018,GB 50496-2018,大体积混凝土施工标准,imported,1070,2,data\imports\chinese_standards_metadata\GB_50496-2018_大体积混凝土施工标准.md,created
std_cn_sl_t_352_2020,SL/T 352-2020,水工混凝土试验规程,imported,1071,2,data\imports\chinese_standards_metadata\SL_T_352-2020_水工混凝土试验规程.md,created
std_cn_dl_t_5330_2015,DL/T 5330-2015,水工混凝土配合比设计规程,imported,1072,2,data\imports\chinese_standards_metadata\DL_T_5330-2015_水工混凝土配合比设计规程.md,created
std_cn_sl_314_2018,SL 314-2018,碾压混凝土坝设计规范,imported,1073,2,data\imports\chinese_standards_metadata\SL_314-2018_碾压混凝土坝设计规范.md,created
std_cn_db52_t_1545_2020,DB52/T 1545-2020,堆石混凝土拱坝技术规范,imported,1074,2,data\imports\chinese_standards_metadata\DB52_T_1545-2020_堆石混凝土拱坝技术规范.md,created
