query_id,category,structured_answer_coverage,structured_citation_support,baseline_answer_coverage,baseline_citation_support,structured_citation_count,structured_source_count,baseline_citation_count,baseline_source_count,root_cause,evidence_note,recommended_action
stage38_bilingual_durability,bilingual,0.600,0.700,0.900,0.950,5,8,4,6,prompt_citation_gap,"baseline passed citation support on same query, so retrieved evidence is likely sufficient",tighten structured_final_answer sentence-level citation instructions
stage38_citation_repair_missing_marker,citation_repair,0.500,0.700,0.800,0.900,1,6,3,8,prompt_citation_gap,"baseline passed citation support on same query, so retrieved evidence is likely sufficient",tighten structured_final_answer sentence-level citation instructions
stage38_duplicate_tool_call,duplicate_tool_call,0.700,0.600,0.600,0.500,1,6,2,5,retrieval_or_repair_gap,both strategies missed citation support; inspect retrieval evidence or repair behavior,inspect citation repair and source coverage; prompt-only fix may be insufficient
stage38_off_topic_stock,off_topic,0.000,0.000,1.000,0.000,0,0,0,0,refusal_judge_artifact,expected refusal; Judge citation score is not sentence-level answer evidence,document separately; do not tune retrieval for expected refusal
stage38_single_hop_filling_capacity,single_hop,0.800,0.700,0.900,0.700,2,5,1,5,retrieval_or_repair_gap,both strategies missed citation support; inspect retrieval evidence or repair behavior,inspect citation repair and source coverage; prompt-only fix may be insufficient
