url,category,trust_level,notes
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2026.02.013,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2026.02.014,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.12.031,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.12.022,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.03.042,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.12.041,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.11.017,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.12.043,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.11.031,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.12.040,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2026.02.015,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2026.02.010,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.04.030,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.12.006,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2026.02.001,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.12.037,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2026.02.008,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2026.02.011,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.12.024,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.08.045,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.07.041,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.06.043,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.10.026,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.06.014,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.05.008,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.10.033,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.10.017,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.07.044,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2026.01.014,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2026.01.007,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.12.021,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.11.011,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.04.006,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.11.019,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.10.004,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.12.007,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.06.038,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2024.11.039,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.01.011,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.02.016,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.08.004,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.06.039,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.08.016,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.07.042,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.12.009,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.08.037,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.10.008,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.10.018,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.06.040,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.03.040,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.04.027,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.03.037,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2024.04.028,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.07.045,????,high,engineering journal article seed for to1000
