language,title,category,status,url,document_id,source_id,content_hash,error
en,Construction aggregate,encyclopedia,imported,https://en.wikipedia.org/api/rest_v1/page/html/Construction_aggregate,1037,wikipedia_d2110127a02a,1a93159ff1a4bf922854c6a89f98c3458b4fa08725188a77f95c57830a15a851,
en,Concrete slump test,encyclopedia,imported,https://en.wikipedia.org/api/rest_v1/page/html/Concrete_slump_test,1038,wikipedia_cdbd59f343e0,b8895ffc246aab1150ee05a0923632c22661d747477138910fcaa625c4347430,
en,Compressive strength,encyclopedia,imported,https://en.wikipedia.org/api/rest_v1/page/html/Compressive_strength,1039,wikipedia_0091c2df870f,c4b38d3d7dc5d5b77cbee875aff2e4d177e07c7701b2030ceecdbc603fdd6b53,
en,Hydration reaction,encyclopedia,fetch_failed,https://en.wikipedia.org/api/rest_v1/page/html/Hydration_reaction,,,,URLError: <urlopen error [WinError 10054] 远程主机强迫关闭了一个现有的连接。>
en,Mass concrete,encyclopedia,imported,https://en.wikipedia.org/api/rest_v1/page/html/Mass_concrete,1040,wikipedia_9f4a373d602a,bed1f4e7e0b4f67bde4bc2e2ed9d07fb6c9ac32d57832f850e7c90153a25944c,
en,Concrete masonry unit,encyclopedia,imported,https://en.wikipedia.org/api/rest_v1/page/html/Concrete_masonry_unit,1041,wikipedia_dc8a9872e877,9aa3ef1152a694baf64bae2c6ec75dfe8dbf006d09b65190dcb20ec4e4cb88a7,
en,Concrete degradation,encyclopedia,imported,https://en.wikipedia.org/api/rest_v1/page/html/Concrete_degradation,1042,wikipedia_3eb3a4e0a837,080e015d930df5bc5908c56dc0c07e33e5a804feb7bc7841c49943e5c133ff2a,
en,Concrete cover,encyclopedia,imported,https://en.wikipedia.org/api/rest_v1/page/html/Concrete_cover,1043,wikipedia_f158349c0419,74b47fcbb38d3e196a87e28265dc7ef10f508745985417e00181b08fba1f38d5,
en,Spillway,encyclopedia,imported,https://en.wikipedia.org/api/rest_v1/page/html/Spillway,1044,wikipedia_14af37f08477,1a1ad37f5c5e5f817cca961048885a31dfd8084d95641dc6bb36cb21da631b51,
en,Embankment dam,encyclopedia,fetch_failed,https://en.wikipedia.org/api/rest_v1/page/html/Embankment_dam,,,,URLError: <urlopen error [WinError 10054] 远程主机强迫关闭了一个现有的连接。>
